index,method,seed,energy,energy_diverse,cost,diversity,n_modes,round,k
0,sfgfn,1,-6.2876134,,10240,,,0,1
1,sfgfn,1,-11.946997,,20480,,,1,1
2,sfgfn,1,-13.762222,,30720,,,2,1
3,sfgfn,1,-21.080002,,40960,,,3,1
4,sfgfn,1,-21.080002,,51200,,,4,1
5,sfgfn,1,-21.080002,,61440,,,5,1
6,sfgfn,1,-21.080002,,71680,,,6,1
7,sfgfn,1,-21.080002,,81920,,,7,1
8,sfgfn,1,-21.080002,,92160,,,8,1
9,sfgfn,1,-4.5492735,-0.8692878484725952,10240,0.5363386834604854,9,0,10
10,sfgfn,1,-10.130354,-2.7041364431381227,20480,0.541634641800676,6,1,10
11,sfgfn,1,-11.5992155,-3.1346946477890016,30720,0.537513440860215,8,2,10
12,sfgfn,1,-14.295868,-3.29443519115448,40960,0.6102742478548929,7,3,10
13,sfgfn,1,-14.295868,-3.29443519115448,51200,0.6102742478548929,7,4,10
14,sfgfn,1,-14.295868,-3.1922886848449705,61440,0.6102742478548929,7,5,10
15,sfgfn,1,-14.295868,-3.297922873497009,71680,0.6102742478548929,7,6,10
16,sfgfn,1,-17.46289,-3.297922873497009,81920,0.618120545462036,10,7,10
17,sfgfn,1,-17.46289,-3.297922873497009,92160,0.618120545462036,10,8,10
18,sfgfn,1,-2.783391,-0.08692878484725952,10240,0.5196389331911423,77,0,100
19,sfgfn,1,-7.433516,-0.27041364431381226,20480,0.49754765299878206,55,1,100
20,sfgfn,1,-8.460018,-0.31346946477890014,30720,0.5146773422669532,65,2,100
21,sfgfn,1,-11.32044,-0.329443519115448,40960,0.5850277185860961,81,3,100
22,sfgfn,1,-11.32044,-0.329443519115448,51200,0.5850277185860961,78,4,100
23,sfgfn,1,-11.32044,-0.31922886848449705,61440,0.5850277185860961,81,5,100
24,sfgfn,1,-11.32044,-0.32979228734970095,71680,0.5850277185860961,78,6,100
25,sfgfn,1,-14.195612,-0.32979228734970095,81920,0.6534340434094522,88,7,100
26,sfgfn,1,-14.195612,-0.32979228734970095,92160,0.6534340434094522,88,8,100
27,mf_random,1,-9.295593,,5309.799999999999,,,0,1
28,mf_random,1,-9.295593,,10322.599999999999,,,1,1
29,mf_random,1,-9.295593,,14959.199999999999,,,2,1
30,mf_random,1,-9.295593,,20328.399999999998,,,3,1
31,mf_random,1,-10.068206,,25182.799999999996,,,4,1
32,mf_random,1,-10.068206,,29898.599999999995,,,5,1
33,mf_random,1,-10.154919,,35148.99999999999,,,6,1
34,mf_random,1,-10.154919,,39864.799999999996,,,7,1
35,mf_random,1,-10.154919,,44818.2,,,8,1
36,mf_random,1,-10.170953,,48999.399999999994,,,9,1
37,mf_random,1,-10.170953,,53853.799999999996,,,10,1
38,mf_random,1,-10.170953,,58173.6,,,11,1
39,mf_random,1,-10.170953,,63245.799999999996,,,12,1
40,mf_random,1,-10.513358,,68238.79999999999,,,13,1
41,mf_random,1,-10.513358,,72518.99999999999,,,14,1
42,mf_random,1,-10.513358,,77729.79999999999,,,15,1
43,mf_random,1,-11.762761,,82762.4,,,16,1
44,mf_random,1,-11.762761,,86943.59999999999,,,17,1
45,mf_random,1,-13.110479,,87758.79999999999,,,18,1
46,mf_random,1,-13.110479,,91543.99999999999,,,19,1
47,mf_random,1,-13.110479,,95962.79999999999,,,20,1
48,mf_random,1,-13.110479,,100836.99999999999,,,21,1
49,mf_random,1,-13.110479,,105651.79999999999,,,22,1
50,mf_random,1,-13.110479,,109476.59999999999,,,23,1
51,mf_random,1,-13.110479,,114627.99999999999,,,24,1
52,mf_random,1,-13.110479,,119680.39999999998,,,25,1
53,mf_random,1,-13.110479,,124356.59999999998,,,26,1
54,mf_random,1,-13.110479,,128715.99999999997,,,27,1
55,mf_random,1,-13.110479,,133689.19999999998,,,28,1
56,mf_random,1,-13.110479,,138781.19999999998,,,29,1
57,mf_random,1,-13.110479,,142803.99999999997,,,30,1
58,mf_random,1,-13.110479,,148192.99999999997,,,31,1
59,mf_random,1,-13.110479,,153284.99999999997,,,32,1
60,mf_random,1,-13.110479,,158396.79999999996,,,33,1
61,mf_random,1,-13.110479,,162835.39999999997,,,34,1
62,mf_random,1,-13.110479,,167392.79999999996,,,35,1
63,mf_random,1,-8.101583,-1.6847745418548583,5309.799999999999,0.4749561006805167,4,0,10
64,mf_random,1,-8.367294,-1.6847745418548583,10322.599999999999,0.4871351960464863,3,1,10
65,mf_random,1,-8.406637,-1.8238927841186523,14959.199999999999,0.4863713750407298,3,2,10
66,mf_random,1,-8.498618,-1.8238927841186523,20328.399999999998,0.47294232649071355,3,3,10
67,mf_random,1,-8.699192,-2.1194596529006957,25182.799999999996,0.4885118659715435,1,4,10
68,mf_random,1,-8.716055,-2.1194596529006957,29898.599999999995,0.48985744542196163,1,5,10
69,mf_random,1,-9.138506,-2.541397953033447,35148.99999999999,0.5195406605918285,2,6,10
70,mf_random,1,-9.17609,-2.59546754360199,39864.799999999996,0.5355343057943169,2,7,10
71,mf_random,1,-9.381201,-2.59546754360199,44818.2,0.5119593506440002,4,8,10
72,mf_random,1,-9.581515,-2.1305479049682616,48999.399999999994,0.4869346411838069,5,9,10
73,mf_random,1,-9.599948,-2.1305479049682616,53853.799999999996,0.49693002513080387,4,10,10
74,mf_random,1,-9.599948,-2.159768295288086,58173.6,0.49693002513080387,4,11,10
75,mf_random,1,-9.604398,-2.159768295288086,63245.799999999996,0.4965635919821126,4,12,10
76,mf_random,1,-9.754501,-2.5890684604644774,68238.79999999999,0.4937104639273716,4,13,10
77,mf_random,1,-9.907918,-2.5890684604644774,72518.99999999999,0.49397248345524203,4,14,10
78,mf_random,1,-9.907918,-2.5890684604644774,77729.79999999999,0.49397248345524203,4,15,10
79,mf_random,1,-10.30625,-3.0755679607391357,82762.4,0.5097109255326718,5,16,10
80,mf_random,1,-10.30625,-3.2866734504699706,86943.59999999999,0.5097109255326718,5,17,10
81,mf_random,1,-10.660095,-3.16332893371582,87758.79999999999,0.5064158185268243,5,18,10
82,mf_random,1,-10.727732,-3.16332893371582,91543.99999999999,0.503641027606872,5,19,10
83,mf_random,1,-10.727732,-2.9894628047943117,95962.79999999999,0.503641027606872,5,20,10
84,mf_random,1,-10.727732,-2.9894628047943117,100836.99999999999,0.503641027606872,5,21,10
85,mf_random,1,-10.727732,-2.9894628047943117,105651.79999999999,0.503641027606872,5,22,10
86,mf_random,1,-10.727732,-2.9894628047943117,109476.59999999999,0.503641027606872,5,23,10
87,mf_random,1,-10.946744,-2.9894628047943117,114627.99999999999,0.5025014055801531,5,24,10
88,mf_random,1,-10.946744,-2.9894628047943117,119680.39999999998,0.5025014055801531,5,25,10
89,mf_random,1,-10.946744,-2.9894628047943117,124356.59999999998,0.5025014055801531,5,26,10
90,mf_random,1,-10.946744,-2.9894628047943117,128715.99999999997,0.5025014055801531,5,27,10
91,mf_random,1,-10.946744,-2.9894628047943117,133689.19999999998,0.5025014055801531,5,28,10
92,mf_random,1,-10.946744,-2.9894628047943117,138781.19999999998,0.5025014055801531,5,29,10
93,mf_random,1,-10.946744,-2.9894628047943117,142803.99999999997,0.5025014055801531,5,30,10
94,mf_random,1,-10.977386,-2.9894628047943117,148192.99999999997,0.5078352548252928,5,31,10
95,mf_random,1,-10.987963,-3.145304799079895,153284.99999999997,0.5010735517732672,4,32,10
96,mf_random,1,-10.987963,-3.145304799079895,158396.79999999996,0.5010735517732672,4,33,10
97,mf_random,1,-10.987963,-3.145304799079895,162835.39999999997,0.5010735517732672,4,34,10
98,mf_random,1,-11.082902,-3.145304799079895,167392.79999999996,0.49795224679123457,4,35,10
99,mf_random,1,-5.5017543,-0.16847745418548585,5309.799999999999,0.4645905847738192,13,0,100
100,mf_random,1,-6.040477,-0.16847745418548585,10322.599999999999,0.4659065941044997,17,1,100
101,mf_random,1,-6.288119,-0.18238927841186522,14959.199999999999,0.4658286957281823,12,2,100
102,mf_random,1,-6.7218733,-0.18238927841186522,20328.399999999998,0.473328804121599,16,3,100
103,mf_random,1,-6.9666843,-0.2119459652900696,25182.799999999996,0.4698715831466434,11,4,100
104,mf_random,1,-7.1551147,-0.2119459652900696,29898.599999999995,0.47673538547837807,15,5,100
105,mf_random,1,-7.3418465,-0.25413979530334474,35148.99999999999,0.4792785656300693,17,6,100
106,mf_random,1,-7.3949914,-0.259546754360199,39864.799999999996,0.48036041797093865,17,7,100
107,mf_random,1,-7.6578064,-0.259546754360199,44818.2,0.478550393243589,15,8,100
108,mf_random,1,-7.810257,-0.21305479049682619,48999.399999999994,0.47954502511607827,17,9,100
109,mf_random,1,-7.91171,-0.21305479049682619,53853.799999999996,0.4793989227725188,12,10,100
110,mf_random,1,-7.9450097,-0.2159768295288086,58173.6,0.47937908284385256,13,11,100
111,mf_random,1,-7.9977527,-0.2159768295288086,63245.799999999996,0.4787697884449464,13,12,100
112,mf_random,1,-8.063627,-0.25890684604644776,68238.79999999999,0.47676894520092966,13,13,100
113,mf_random,1,-8.177891,-0.25890684604644776,72518.99999999999,0.47832644310675804,14,14,100
114,mf_random,1,-8.189773,-0.25890684604644776,77729.79999999999,0.4792378674180994,14,15,100
115,mf_random,1,-8.2849865,-0.30755679607391356,82762.4,0.48098687145286056,15,16,100
116,mf_random,1,-8.371973,-0.3286673450469971,86943.59999999999,0.4817990870302472,14,17,100
117,mf_random,1,-8.489376,-0.31633289337158205,87758.79999999999,0.48247713482792354,14,18,100
118,mf_random,1,-8.541418,-0.31633289337158205,91543.99999999999,0.48140299119085045,14,19,100
119,mf_random,1,-8.609369,-0.29894628047943117,95962.79999999999,0.48187370087879233,15,20,100
120,mf_random,1,-8.614162,-0.29894628047943117,100836.99999999999,0.4814204346263612,14,21,100
121,mf_random,1,-8.634915,-0.29894628047943117,105651.79999999999,0.4811442911334312,15,22,100
122,mf_random,1,-8.682445,-0.29894628047943117,109476.59999999999,0.4830703633189762,16,23,100
123,mf_random,1,-8.731019,-0.29894628047943117,114627.99999999999,0.48385525909516197,16,24,100
124,mf_random,1,-8.77551,-0.29894628047943117,119680.39999999998,0.4856601995076878,17,25,100
125,mf_random,1,-8.866748,-0.29894628047943117,124356.59999999998,0.48940192129407745,18,26,100
126,mf_random,1,-8.885151,-0.29894628047943117,128715.99999999997,0.4881850402463951,18,27,100
127,mf_random,1,-8.912871,-0.29894628047943117,133689.19999999998,0.4871022316397863,18,28,100
128,mf_random,1,-8.943015,-0.29894628047943117,138781.19999999998,0.4849982900990225,17,29,100
129,mf_random,1,-8.95036,-0.29894628047943117,142803.99999999997,0.48494691255865685,17,30,100
130,mf_random,1,-8.985587,-0.29894628047943117,148192.99999999997,0.48495012604932974,16,31,100
131,mf_random,1,-9.047967,-0.3145304799079895,153284.99999999997,0.48825662098612393,16,32,100
132,mf_random,1,-9.056467,-0.3145304799079895,158396.79999999996,0.48906414900044,16,33,100
133,mf_random,1,-9.056467,-0.3145304799079895,162835.39999999997,0.48906414900044,16,34,100
134,mf_random,1,-9.104449,-0.3145304799079895,167392.79999999996,0.49121709831308685,16,35,100
135,mf_random,2,-9.430489,,5626.6,,,0,1
136,mf_random,2,-9.8367195,,10164.2,,,1,1
137,mf_random,2,-12.020086,,14503.800000000001,,,2,1
138,mf_random,2,-12.020086,,18803.800000000003,,,3,1
139,mf_random,2,-12.020086,,22806.800000000003,,,4,1
140,mf_random,2,-12.020086,,27027.600000000002,,,5,1
141,mf_random,2,-12.020086,,32436.4,,,6,1
142,mf_random,2,-12.020086,,37667.0,,,7,1
143,mf_random,2,-12.020086,,42620.4,,,8,1
144,mf_random,2,-12.020086,,47514.4,,,9,1
145,mf_random,2,-12.020086,,52210.4,,,10,1
146,mf_random,2,-12.020086,,57322.200000000004,,,11,1
147,mf_random,2,-12.238656,,62275.600000000006,,,12,1
148,mf_random,2,-12.238656,,67506.20000000001,,,13,1
149,mf_random,2,-12.238656,,72459.6,,,14,1
150,mf_random,2,-12.238656,,77254.6,,,15,1
151,mf_random,2,-12.238656,,82109.0,,,16,1
152,mf_random,2,-12.238656,,87121.8,,,17,1
153,mf_random,2,-12.238656,,92629.6,,,18,1
154,mf_random,2,-12.238656,,98038.40000000001,,,19,1
155,mf_random,2,-12.238656,,103170.00000000001,,,20,1
156,mf_random,2,-12.238656,,108004.60000000002,,,21,1
157,mf_random,2,-12.238656,,112977.80000000002,,,22,1
158,mf_random,2,-7.749167,-1.800378394126892,5626.6,0.4864928101160353,2,0,10
159,mf_random,2,-8.354129,-2.1859364986419676,10164.2,0.49394110272169234,1,1,10
160,mf_random,2,-8.903551,-2.374638867378235,14503.800000000001,0.48701899995175213,3,2,10
161,mf_random,2,-9.069941,-2.6993877410888674,18803.800000000003,0.4620255128770309,3,3,10
162,mf_random,2,-9.752876,-2.6993877410888674,22806.800000000003,0.47102705967613057,4,4,10
163,mf_random,2,-10.10268,-3.509762001037598,27027.600000000002,0.5106408646873543,4,5,10
164,mf_random,2,-10.18837,-2.759281373023987,32436.4,0.5172672087733757,4,6,10
165,mf_random,2,-10.18837,-2.759281373023987,37667.0,0.5172672087733757,4,7,10
166,mf_random,2,-10.18837,-2.9149386644363404,42620.4,0.5172672087733757,4,8,10
167,mf_random,2,-10.243667,-2.8707650184631346,47514.4,0.505018192679483,4,9,10
168,mf_random,2,-10.319325,-2.8707650184631346,52210.4,0.49242953730856953,4,10,10
169,mf_random,2,-10.330703,-3.0234513759613035,57322.200000000004,0.4857300152058216,3,11,10
170,mf_random,2,-10.711138,-2.8877455949783326,62275.600000000006,0.5036404366243076,4,12,10
171,mf_random,2,-10.711138,-2.8877455949783326,67506.20000000001,0.5036404366243076,4,13,10
172,mf_random,2,-10.711138,-2.8877455949783326,72459.6,0.5036404366243076,4,14,10
173,mf_random,2,-10.83558,-2.8877455949783326,77254.6,0.5044506896926252,2,15,10
174,mf_random,2,-10.83558,-2.9142922163009644,82109.0,0.5044506896926252,2,16,10
175,mf_random,2,-10.83558,-3.464756441116333,87121.8,0.5044506896926252,2,17,10
176,mf_random,2,-10.83558,-3.464756441116333,92629.6,0.5044506896926252,2,18,10
177,mf_random,2,-10.83558,-3.464756441116333,98038.40000000001,0.5044506896926252,2,19,10
178,mf_random,2,-10.8611555,-3.464756441116333,103170.00000000001,0.5123264907135875,2,20,10
179,mf_random,2,-10.8611555,-3.464756441116333,108004.60000000002,0.5123264907135875,2,21,10
180,mf_random,2,-10.868849,-3.464756441116333,112977.80000000002,0.5075149183166261,3,22,10
181,mf_random,2,-5.225061,-0.18003783941268922,5626.6,0.4591409611010371,10,0,100
182,mf_random,2,-6.122903,-0.21859364986419677,10164.2,0.46802689032040273,15,1,100
183,mf_random,2,-6.6389174,-0.23746388673782348,14503.800000000001,0.470621879483164,16,2,100
184,mf_random,2,-6.8693776,-0.2699387741088867,18803.800000000003,0.4695792261169309,14,3,100
185,mf_random,2,-7.2937865,-0.2699387741088867,22806.800000000003,0.47110080179469516,14,4,100
186,mf_random,2,-7.5472856,-0.35097620010375974,27027.600000000002,0.47197011143036655,14,5,100
187,mf_random,2,-7.6902866,-0.2759281373023987,32436.4,0.4761410879679789,16,6,100
188,mf_random,2,-7.7716413,-0.2759281373023987,37667.0,0.4742819614176774,16,7,100
189,mf_random,2,-7.881531,-0.291493866443634,42620.4,0.47518513038441157,13,8,100
190,mf_random,2,-7.9553313,-0.2870765018463135,47514.4,0.4760592487409413,13,9,100
191,mf_random,2,-8.05134,-0.2870765018463135,52210.4,0.477882144197102,14,10,100
192,mf_random,2,-8.098423,-0.30234513759613035,57322.200000000004,0.4776727200037727,13,11,100
193,mf_random,2,-8.221978,-0.28877455949783326,62275.600000000006,0.47935306075707623,15,12,100
194,mf_random,2,-8.239727,-0.28877455949783326,67506.20000000001,0.4779130690687999,14,13,100
195,mf_random,2,-8.29311,-0.28877455949783326,72459.6,0.47814493103272593,15,14,100
