index,method,seed,energy,cost,diversity,round,k
0,sf,1,2.677471522973747,10,,0,1
1,sf,1,2.677471522973747,20,,1,1
2,sf,1,2.9335603002238577,30,,2,1
3,sf,1,2.9906699858676062,40,,3,1
4,sf,1,3.0121477088855566,50,,4,1
5,sf,1,3.0139332026230394,60,,5,1
6,sf,1,3.107309859311446,70,,6,1
7,sf,1,3.107309859311446,80,,7,1
8,sf,1,3.107309859311446,90,,8,1
9,sf,1,1.498037967149581,10,,0,10
10,sf,1,1.8829228273782008,20,,1,10
11,sf,1,2.2993599830285607,30,,2,10
12,sf,1,2.6987332750801967,40,,3,10
13,sf,1,2.8947517051498672,50,,4,10
14,sf,1,2.971504461258199,60,,5,10
15,sf,1,3.026253228631974,70,,6,10
16,sf,1,3.026253228631974,80,,7,10
17,sf,1,3.026253228631974,90,,8,10
18,sf,2,2.5632051283063344,10,,0,1
19,sf,2,3.0866511794316374,20,,1,1
20,sf,2,3.0866511794316374,30,,2,1
21,sf,2,3.1787676048027103,40,,3,1
22,sf,2,3.1832407381391326,50,,4,1
23,sf,2,3.1832407381391326,60,,5,1
24,sf,2,3.1832407381391326,70,,6,1
25,sf,2,3.1832407381391326,80,,7,1
26,sf,2,3.216692608984199,90,,8,1
27,sf,2,1.1541930698431209,10,,0,10
28,sf,2,2.0552390404773306,20,,1,10
29,sf,2,2.3008546773150433,30,,2,10
30,sf,2,2.703643874067983,40,,3,10
31,sf,2,2.937405483608223,50,,4,10
32,sf,2,2.9863372220811053,60,,5,10
33,sf,2,2.9863372220811053,70,,6,10
34,sf,2,2.995228716180346,80,,7,10
35,sf,2,3.145808980645582,90,,8,10
36,sf,3,2.5632051283063344,10,,0,1
37,sf,3,3.0866511794316374,20,,1,1
38,sf,3,3.0866511794316374,30,,2,1
39,sf,3,3.1787676048027103,40,,3,1
40,sf,3,3.1832407381391326,50,,4,1
41,sf,3,3.1832407381391326,60,,5,1
42,sf,3,3.1832407381391326,70,,6,1
43,sf,3,3.1832407381391326,80,,7,1
44,sf,3,3.216692608984199,90,,8,1
45,sf,3,1.1541930698431209,10,,0,10
46,sf,3,2.0552390404773306,20,,1,10
47,sf,3,2.3008546773150433,30,,2,10
48,sf,3,2.703643874067983,40,,3,10
49,sf,3,2.937405483608223,50,,4,10
50,sf,3,2.9863372220811053,60,,5,10
51,sf,3,2.9863372220811053,70,,6,10
52,sf,3,2.995228716180346,80,,7,10
53,sf,3,3.145808980645582,90,,8,10
54,mf_random,1,1.7641680434226874,1.875,,0,1
55,mf_random,1,1.7641680434226874,7.125,,1,1
56,mf_random,1,1.7641680434226874,11.25,,2,1
57,mf_random,1,1.7641680434226874,15.375,,3,1
